STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Total crimes
ANDHRA PRADESH,ADILABAD,2008,50,26,5,174,103,355,713
ANDHRA PRADESH,ANANTAPUR,2008,37,36,12,133,132,0,350
ANDHRA PRADESH,CHITTOOR,2008,30,57,26,104,250,288,755
ANDHRA PRADESH,CUDDAPAH,2008,27,64,11,212,37,267,618
ANDHRA PRADESH,CYBERABAD,2008,80,101,59,130,833,884,2087
ANDHRA PRADESH,EAST GODAVARI,2008,48,13,23,194,131,563,972
ANDHRA PRADESH,GUNTAKAL RLY.,2008,0,0,0,3,1,2,6
ANDHRA PRADESH,GUNTUR,2008,48,65,26,306,99,496,1040
ANDHRA PRADESH,HYDERABAD CITY,2008,62,77,41,231,148,1184,1743
ANDHRA PRADESH,KARIMNAGAR,2008,84,148,48,310,273,596,1459
ANDHRA PRADESH,KHAMMAM,2008,70,83,26,213,24,329,745
ANDHRA PRADESH,KRISHNA,2008,38,52,12,254,93,379,828
ANDHRA PRADESH,KURNOOL,2008,47,72,17,419,232,227,1014
ANDHRA PRADESH,MAHABOOBNAGAR,2008,72,87,35,162,38,231,625
ANDHRA PRADESH,MEDAK,2008,50,44,35,114,61,332,636
ANDHRA PRADESH,NALGONDA,2008,90,76,32,243,155,353,949
ANDHRA PRADESH,NELLORE,2008,39,73,6,184,130,333,765
ANDHRA PRADESH,NIZAMABAD,2008,31,25,16,70,85,305,532
ANDHRA PRADESH,PRAKASHAM,2008,30,53,5,192,38,229,547
ANDHRA PRADESH,RANGA REDDY,2008,37,13,19,39,25,120,253
ANDHRA PRADESH,SECUNDERABAD RLY.,2008,2,0,0,1,0,0,3
ANDHRA PRADESH,SRIKAKULAM,2008,32,14,6,92,72,314,530
ANDHRA PRADESH,VIJAYAWADA CITY,2008,30,36,9,104,252,395,826
ANDHRA PRADESH,VIJAYAWADA RLY.,2008,0,0,0,1,1,0,2
ANDHRA PRADESH,VISAKHA RURAL,2008,12,9,10,79,40,168,318
ANDHRA PRADESH,VISAKHAPATNAM,2008,29,26,13,87,2,488,645
ANDHRA PRADESH,VIZIANAGARAM,2008,6,14,3,88,60,253,424
ANDHRA PRADESH,WARANGAL,2008,59,62,36,223,54,519,953
ANDHRA PRADESH,WEST GODAVARI,2008,117,70,25,368,182,696,1458
ANDHRA PRADESH,TOTAL,2008,1257,1396,556,4730,3551,10306,21796
ARUNACHAL PRADESH,CHANGLANG,2008,2,4,0,5,0,0,11
ARUNACHAL PRADESH,DIBANG VALLEY,2008,3,4,0,9,0,2,18
ARUNACHAL PRADESH,K/KUMEY,2008,2,2,0,2,0,1,7
ARUNACHAL PRADESH,KAMENG EAST,2008,5,4,0,0,0,0,9
ARUNACHAL PRADESH,KAMENG WEST,2008,0,2,0,4,0,0,6
ARUNACHAL PRADESH,LOHIT,2008,3,1,0,1,0,0,5
ARUNACHAL PRADESH,PAPUM PARE,2008,7,10,0,12,1,3,33
ARUNACHAL PRADESH,SIANG EAST,2008,5,5,0,6,0,1,17
ARUNACHAL PRADESH,SIANG UPPER,2008,0,1,0,1,0,0,2
ARUNACHAL PRADESH,SIANG WEST,2008,13,8,0,6,0,5,32
